"","CPU","MCS","SNR","bsr","buff_state1","buff_state2","dec_error","net_load","throughput","txgain","what","SNR_group"
"14455",0.54,8,9.33247863247863,3259.49582384207,NA,NA,0.0801850424055513,"Load = 30%",0.146085888909325,50,"i7-8650U @ 1.90GHz","Low SNR"
"14456",0.64,6,25.6327426606718,145483.504800404,NA,NA,0.954522486104093,"Load = 90%",4.47951724660208,75,"i7-8650U @ 1.90GHz","High SNR"
"14457",0.6,18,5.31818181818182,51955.58617077,NA,NA,0,"Load = 90%",0,80,"i7-8650U @ 1.90GHz","Low SNR"
"14458",0.52,8,27.7778846153846,50088.3758223684,NA,NA,0.0825,"Load = 50%",0.14113009743057,80,"i7-8650U @ 1.90GHz","High SNR"
"14459",0.62,4,8.04171779141104,147140.800804829,NA,NA,0.94314465408805,"Load = 100%",3.01869196494753,65,"i7-8650U @ 1.90GHz","Low SNR"
"14460",0.66,6,16.2694848084544,145530.640463593,NA,NA,0.953388762912572,"Load = 70%",4.48752323035563,65,"i7-8650U @ 1.90GHz","Medium SNR"
"14461",0.68,10,16.3519718309859,1558.72471910112,NA,NA,1,"Load = 5%",1.2354321262467,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14462",0.68,0,10.9877072913925,149821.971830986,NA,NA,0.954476861167002,"Load = 70%",1.18401016782969,50,"i7-8650U @ 1.90GHz","Low SNR"
"14463",0.42,2,25.4833333333333,144903.163201008,NA,NA,0.0633312222925903,"Load = 70%",0.0481587137677502,80,"i7-8650U @ 1.90GHz","High SNR"
"14464",0.58,0,21.1067200557103,6250.52693437806,NA,NA,0.93848167539267,"Load = 5%",0.892593074359371,70,"i7-8650U @ 1.90GHz","High SNR"
"14465",0.4,0,22.859649122807,12953.0511571255,NA,NA,0.0562874251497006,"Load = 5%",0.011116993912051,70,"i7-8650U @ 1.90GHz","High SNR"
"14466",0.48,18,19.6294573643411,2306.78381374723,NA,NA,0.136107986501687,"Load = 70%",0.409718321001891,70,"i7-8650U @ 1.90GHz","High SNR"
"14467",0.54,0,14.6044943820225,20990.8603319977,NA,NA,0.0970149253731343,"Load = 10%",0.0500749638882472,65,"i7-8650U @ 1.90GHz","Medium SNR"
"14468",0.66,12,25.9991079393399,2082.82117437722,NA,NA,1,"Load = 10%",2.22014107936283,75,"i7-8650U @ 1.90GHz","High SNR"
"14469",0.66,12,21.4020761245675,141021.073170732,NA,NA,0.784598520142505,"Load = 90%",6.503214542662,80,"i7-8650U @ 1.90GHz","High SNR"
"14470",0.56,2,28.9633507853403,144815.69666374,NA,NA,0.0780205082478823,"Load = 100%",0.0863667436435128,80,"i7-8650U @ 1.90GHz","High SNR"
"14471",0.46,2,9.07361111111111,146842.885175969,NA,NA,0.0449197860962567,"Load = 90%",0.0601580500520289,50,"i7-8650U @ 1.90GHz","Low SNR"
"14472",0.46,12,17.6527272727273,85589.7430588235,NA,NA,0.0145951035781544,"Load = 30%",0.0642644080776916,70,"i7-8650U @ 1.90GHz","Medium SNR"
"14473",0.6,14,8.85526859504132,1478.08593012276,NA,NA,0.347497639282342,"Load = 5%",0.797274700154769,65,"i7-8650U @ 1.90GHz","Low SNR"
"14474",0.48,6,18.8381944444444,120766.890016234,NA,NA,0.0559183673469388,"Load = 50%",0.156338731990848,70,"i7-8650U @ 1.90GHz","High SNR"
"14475",0.7,18,25.7067549668874,133997.473670691,NA,NA,0.969424460431655,"Load = 100%",15.4010352560994,75,"i7-8650U @ 1.90GHz","High SNR"
"14476",0.54,6,8.808,26489,NA,NA,0,"Load = 30%",0,60,"i7-8650U @ 1.90GHz","Low SNR"
