"device","cpu","mcs","txpower","mean_load","mean_throughput","mean_goodput","mean_snr","mean_q7","mean_q11","mean_q25","mean_bler","mean_bsr","mean_turbo_its","mean_dectime","mean_overflows","mean_underflows","mean_lates"
"I7-5600U @ 2.60GHz",0.1,0,-11,2.3,0.243295206929493,0.241150576034513,5.62248155844156,1,1,1,0.693077333333333,135215.111928812,4.15711928811929,1088.49031246479,0.2996632996633,0.1996632996633,16.2395863395863
"I7-5600U @ 2.60GHz",0.1,0,-11,5.75,0.319513864640298,0.315352934413385,5.23868451944241,1,1,1,0.6211215,109490.744680851,3.35495597945708,2368.19384943782,0.26962582538518,0.278246515040352,14.9183785766691
"I7-5600U @ 2.60GHz",0.1,0,-11,11.5,0.172738272781899,0.164264217094411,5.97957419354839,1,1,1,0.5599,106313.596774194,3.61258064516129,3607.98090979032,0.241935483870968,0.290322580645161,13.3387096774194
"I7-5600U @ 2.60GHz",0.1,0,-11,17.25,0.284384934733927,0.282229242134289,4.87142857142857,1,1,1,0.63399,109385.902597403,3.27125811688312,1635.23804568019,0.263798701298701,0.277597402597403,14.8612012987013
"I7-5600U @ 2.60GHz",0.1,0,-11,23,0.112466063406763,0.110944931782985,3.35042135093168,1,1,1,1,159326.935559006,6.10673136645963,1243.8619134604,0.302018633540373,0.244565217391304,16.1692546583851
"I7-5600U @ 2.60GHz",0.1,0,-11,28.75,0.108628262375057,0.107774535167173,2.62581770833333,1,1,1,1,112293.739583333,4.72182291666667,4003.1472066224,0.244791666666667,0.260416666666667,13.515625
"I7-5600U @ 2.60GHz",0.1,0,-10,2.3,0.310057833541217,0.306282044812754,6.47163265306123,1,1,1,0.66867,131341.306122449,3.89367346938776,429.612244897959,0.306122448979592,0.183673469387755,17.0204081632653
"I7-5600U @ 2.60GHz",0.1,0,-10,5.75,0.0282118371240939,0.0279114050587551,0.784530508474576,1,1,1,1,108405.372881356,6.63898305084746,3867.56508211864,0.23728813559322,0.254237288135593,12.6610169491525
"I7-5600U @ 2.60GHz",0.1,0,-10,11.5,0.169296889486135,0.16790646704884,4.27664814814815,1,1,1,0.57859,94349.037037037,2.59574074074074,617.512116611111,0.277777777777778,0.111111111111111,15.0740740740741
"I7-5600U @ 2.60GHz",0.1,0,-10,17.25,0.18751865675959,0.185979505084721,4.89953488372093,1,1,1,0.6846,111533.209302326,3.14418604651163,354.674418604651,0.302325581395349,0.186046511627907,16.3488372093023
"I7-5600U @ 2.60GHz",0.1,0,-10,23,0.166945233725494,0.165661334494083,4.24785714285714,1,1,1,1,93523.7857142857,2.57821428571429,1707.39254325,0.267857142857143,0.0892857142857143,14.7321428571429
"I7-5600U @ 2.60GHz",0.1,0,-10,28.75,0.407037319842999,0.40190270939793,8.26463921568627,1,1,1,0.688882,100886.647058824,4.49764705882353,902.278431372549,0.294117647058824,0.294117647058824,17.1960784313725
"I7-5600U @ 2.60GHz",0.1,0,-9,2.3,0.409270477513455,0.403432480704584,7.71227272727273,1,1,1,0.699381,140676.204545455,3.85363636363636,960.095614340909,0.318181818181818,0.340909090909091,17.3409090909091
"I7-5600U @ 2.60GHz",0.1,0,-9,5.75,0.185226939481539,0.183803061415362,5.521875,1,1,1,0.63845,109179.666666667,2.94520833333333,2349.6221516875,0.270833333333333,0.166666666666667,14.0208333333333
"I7-5600U @ 2.60GHz",0.1,0,-9,11.5,0.167040025698465,0.165764948579223,4.76710416666667,1,1,1,0.64653,102897.916666667,3.06020833333333,581.685180666667,0.270833333333333,0.166666666666667,14.4791666666667
"I7-5600U @ 2.60GHz",0.1,0,-9,23,0.177107541994293,0.175715885716127,5.06207843137255,1,1,1,1,108643.37254902,3.21823529411765,167.901960784314,0.274509803921569,0.117647058823529,16.1764705882353
"I7-5600U @ 2.60GHz",0.1,0,-9,28.75,0.0880096577080772,0.0833816606832181,5.3273023255814,1,1,1,1,264518.720930233,7.50558139534884,582.325581395349,0.325581395348837,0.27906976744186,16.3023255813953
"I7-5600U @ 2.60GHz",0.1,0,-8,2.3,0.267763090528545,0.266263360798206,6.12856112513523,1,1,1,0.6233435,109529.503606203,3.41775874504147,1889.60560398792,0.284529390551749,0.182654165164082,15.8279841327083
"I7-5600U @ 2.60GHz",0.1,0,-8,5.75,0.149094580985642,0.147596831984453,5.55349183673469,1,1,1,0.725919,118071.693877551,4.39246598639456,1099.5574829932,0.275510204081633,0.188775510204082,16.2295918367347
"I7-5600U @ 2.60GHz",0.1,0,-8,11.5,0.181520134289639,0.178764023439939,7.2643817512275,1,1,1,0.660635,113571.355973813,3.69478314238953,2297.61785334513,0.283551554828151,0.190875613747954,16.2690261865794
"I7-5600U @ 2.60GHz",0.1,0,-8,17.25,0.125598605801638,0.122486377872882,5.31459800569801,1,1,1,1,177399.301282051,5.43014601139601,1009.63068548326,0.301282051282051,0.22542735042735,16.5530626780627
"I7-5600U @ 2.60GHz",0.1,0,-8,23,0.135565175691961,0.130485686979366,5.96273066037736,1,1,1,1,103547.984591195,4.12781132075472,4081.24034002044,0.266509433962264,0.218238993710692,15.3339622641509
"I7-5600U @ 2.60GHz",0.1,0,-8,28.75,0.110732020632808,0.109916234870622,3.58922242063492,1,1,1,1,110033.203703704,4.72161375661376,2953.33494609259,0.254960317460317,0.217261904761905,14.5615079365079
"I7-5600U @ 2.60GHz",0.1,0,-7,2.3,0.448217745949427,0.446396042261237,8.48027777777778,1,1,1,0.7161085,138473.899242424,4.24115404040404,1216.25893801439,0.314646464646465,0.202272727272727,16.8684343434343
"I7-5600U @ 2.60GHz",0.1,0,-7,5.75,0.16640224180798,0.16553556346523,6.33933333333333,1,1,1,0.54326,104961.066666667,2.82616666666667,6534.46748046667,0.25,0.216666666666667,13.3333333333333
"I7-5600U @ 2.60GHz",0.1,0,-7,11.5,0.125942735636428,0.122781288047582,6.27516481481481,1,1,1,0.740275,186541.662962963,5.45723333333333,1028.73009259259,0.28962962962963,0.212592592592593,15.8851851851852
